model,strategy,task,level,n_samples,accuracy,correct,ci95_lower,ci95_upper
gemini-2.5-flash,simple,rushhour,3,30,0.16666666666666666,5,0.0733654237184855,0.3356435050641603
gemini-2.5-flash,simple,rushhour,4,30,0.0,0,0.0,0.11351339317396876
gemini-2.5-flash,simple,rushhour,5,30,0.03333333333333333,1,0.005908590381612455,0.16670390991409173
gemini-2.5-flash,simple,sliding-puzzle,1,30,0.26666666666666666,8,0.14182663319596317,0.4444796169518888
gemini-2.5-flash,simple,sliding-puzzle,2,30,0.1,3,0.03459988874733419,0.25621082579184085
gemini-2.5-flash,simple,sliding-puzzle,3,30,0.0,0,0.0,0.11351339317396876
gemini-2.5-flash,simple,sliding-puzzle,4,30,0.0,0,0.0,0.11351339317396876
gemini-2.5-flash,simple,sliding-puzzle,5,30,0.03333333333333333,1,0.005908590381612455,0.16670390991409173
gemini-2.5-flash-image,generate_images,form-board,1,30,0.03571428571428571,1,0.0063325198490377516,0.1771219774335332
gemini-2.5-flash-image,generate_images,form-board,2,30,0.038461538461538464,1,0.006821984993543487,0.18892778903034757
gemini-2.5-flash-image,generate_images,form-board,3,30,0.07407407407407407,2,0.020554654060988622,0.23369592683023144
gemini-2.5-flash-image,generate_images,form-board,4,30,0.0,0,1.3877787807814457e-17,0.12064330476584563
gemini-2.5-flash-image,generate_images,form-board,5,30,0.038461538461538464,1,0.006821984993543487,0.18892778903034757
gemini-2.5-flash-image,generate_images,hinge-folding,1,30,0.4666666666666667,14,0.30232388907699753,0.638577003801267
gemini-2.5-flash-image,generate_images,hinge-folding,2,30,0.2,6,0.0950510717728987,0.3730569641314825
gemini-2.5-flash-image,generate_images,hinge-folding,3,30,0.0,0,0.0,0.11351339317396876
gemini-2.5-flash-image,generate_images,hinge-folding,4,30,0.0,0,0.0,0.11351339317396876
gemini-2.5-flash-image,generate_images,hinge-folding,5,30,0.0,0,0.0,0.11351339317396876
gemini-2.5-flash-image,generate_images,paper-fold,1,30,0.16666666666666666,5,0.0733654237184855,0.3356435050641603
gemini-2.5-flash-image,generate_images,paper-fold,2,30,0.06666666666666667,2,0.018477023791270378,0.2132345836261692
gemini-2.5-flash-image,generate_images,paper-fold,3,30,0.07142857142857142,2,0.019812064115305755,0.22645362568399052
gemini-2.5-flash-image,generate_images,paper-fold,4,30,0.21428571428571427,6,0.1021246033289788,0.3953858565372187
gemini-2.5-flash-image,generate_images,paper-fold,5,30,0.10344827586206896,3,0.03581489135067707,0.26385081090773804
gemini-2.5-flash-image,generate_images,rushhour,1,30,0.4,12,0.24590628116801852,0.5767963974667752
